Ticker,Date,Time,Open,High,Low,Close,Vol
HD,20040708,1600,34.8000,34.9900,34.2400,34.2900,7180500
HD,20040709,1600,34.3000,34.5000,34.1300,34.3700,5737500
HD,20040712,1600,34.3700,34.8200,34.1600,34.6600,5761400
HD,20040713,1600,34.7000,34.9700,34.6000,34.8600,4952700
HD,20040714,1600,34.7700,34.9700,34.3600,34.5100,5486800
HD,20040715,1600,34.6600,34.6600,34.3100,34.3300,5370700
HD,20040716,1600,34.6400,34.6400,33.8600,33.9200,6820400
HD,20040719,1600,33.9500,34.0600,32.9400,33.2700,10107500
HD,20040720,1600,33.3500,34.1800,33.3500,33.9920,5638600
HD,20040721,1600,34.2200,34.2700,33.5300,33.5300,5192200
HD,20040722,1600,33.3500,33.8600,33.1500,33.8000,5672600
HD,20040723,1600,33.7000,33.7400,32.9100,33.0000,7399700
HD,20040726,1600,33.0500,33.2700,32.5700,32.8800,6551000
HD,20040727,1600,32.9800,33.8000,32.9500,33.4300,7403500
HD,20040728,1600,33.3900,33.6800,33.0400,33.5000,5647200
HD,20040729,1600,33.6500,34.0100,33.2700,33.7200,4196300
HD,20040730,1600,33.6000,33.8800,33.4000,33.7200,4397700
HD,20040802,1600,33.7200,34.2200,33.5599,34.0300,5040500
HD,20040803,1600,33.8700,33.9000,33.2200,33.5200,6156100
HD,20040804,1600,33.2700,33.5500,33.1100,33.4300,2902900
HD,20040805,1600,33.5900,33.6300,32.8000,32.9800,5542800
HD,20040806,1600,32.5500,33.2500,32.3900,32.9000,7797100
HD,20040809,1600,32.9000,33.2400,32.8700,32.9100,4149700
HD,20040810,1600,33.0000,33.1400,32.9100,33.0800,576200
HD,20040811,1600,33.1200,33.1400,32.7000,33.0900,5863900
HD,20040812,1600,33.1400,33.3800,32.8800,32.9500,5226300
HD,20040813,1600,33.1500,33.4700,32.9400,33.1400,6774800
HD,20040816,1600,33.4500,34.3400,33.4000,33.9800,9742200
HD,20040817,1600,35.7800,35.8500,35.0300,35.1000,14738900
